,Morgan Stanley ,Royal Bank of Canada,Royal Bank of Scotland ,Santander,Société Generale,Standard Chartered ,State Street,Sumitomo Mitsui FG,UBS,Unicredit Group,Bank of New York Mellon ,Credit Suisse,Groupe Crédit Agricole,ING,Mizuho FG,Nordea,Goldman Sachs,JP Morgan Chase,Deutsche Bank ,Bank of America ,BNP Paribas,Citigroup,HSBC,Bank of China,Barclays,China Construction Bank,Industrial and Commercial Bank of China Limited ,Mitsubishi UFJ FG,Wells Fargo,Agricultural Bank of China 
Abbey Stockbrokers Ltd.,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000
Abbot Downing Investment Advisors,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABC Islamic Bank EC (Investment Management),0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000
ABELE Depotverwaltung GmbH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Aberdeen Asset Investments Ltd.,0.0600,0.0000,0.4600,0.0300,0.1200,1.3100,0.2400,0.0400,0.0000,0.0800,0.0700,0.0600,0.0000,0.1400,0.0100,0.0200,0.0600,0.0800,0.0000,0.0900,0.0700,0.0400,1.6400,0.0100,1.5500,0.0000,0.0300,0.0200,0.1100,0.0000
Aberdeen Asset Management (Asia) Ltd.,0.0000,0.0000,0.0000,0.0000,0.0000,0.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0200,0.0100,0.0000,0.0000
Aberdeen Asset Management Gestion SNC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Aberdeen Asset Management Ltd.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Aberdeen Asset Management, Inc.",0.0000,0.0000,0.0000,0.0100,0.0200,0.1900,0.0000,0.0200,0.0000,0.0200,0.0000,0.0100,0.0200,0.0100,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0100,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000
Aberdeen Asset Managers Ltd.,0.0200,0.0000,0.0900,0.0200,0.0300,1.2400,0.2300,0.2300,0.0000,0.2500,0.0200,0.2000,0.0100,0.3100,0.0100,0.5100,0.0700,0.0600,0.0000,0.0300,0.2600,0.0100,0.2400,0.0600,0.4600,0.0200,0.0500,0.1700,0.0500,0.0000
Aberdeen Canada - Emerging Markets Fund,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Aberdeen International Fund Managers Ltd.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Aberdeen Investment Solutions Ltd.,0.0000,0.0100,0.0100,0.0000,0.0000,0.0500,0.0600,0.0000,0.0000,0.0000,0.0700,0.0300,0.0000,0.0000,0.0000,0.0200,0.0100,0.0200,0.0000,0.0000,0.0000,0.0000,0.1200,0.0000,0.1100,0.0000,0.0000,0.0000,0.0100,0.0000
Aberdeen Standard Investments (Japan) Ltd.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABN AMRO Bank NV (Singapore Branch),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ABN AMRO Investment Solutions SA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
